Name	Number	BeamID	E	        N	        U

Tile011	0	0	-79.3050	6.8975	        1.2590
Tile012	1	0	-24.8850	11.2715	        1.5320
Tile013	2	0	-18.0320	7.1045	        1.5560
Tile014	3	0	-8.2180	        -0.4855	        1.5380
Tile015	4	0	-16.4600	-10.4645	1.5850
Tile016	5	0	-31.8450	-14.8285	1.5050
Tile017	6	0	-22.8660	-16.6375	1.5160
Tile018	7	0	-77.8500	-38.6455	1.4610
Tile021	8	0	-62.4590	23.6945	        1.2510
Tile022	9	0	-69.3870	16.5815	        1.2670
Tile023	10	0	-53.1870	25.9375	        1.2990
Tile024	11	0	-22.4090	22.4415	        1.5020
Tile025	12	0	-7.3550	        23.9225	        1.5010
Tile026	13	0	-12.9960	18.6465	        1.5480
Tile027	14	0	-6.5080	        13.7205	        1.5450
Tile028	15	0	-105.5260	30.9865	        0.8730
Tile031	16	0	46.8600	        -57.3705	1.0490
Tile032	17	0	46.6780	        -36.5635	1.1170
Tile033	18	0	29.9910	        -23.7465	1.2060
Tile034	19	0	15.9530	        -21.3985	1.3690
Tile035	20	0	5.6290	        -8.1035	        1.4850
Tile036	21	0	0.4050	        0.4855	        1.5130
Tile037	22	0	10.4230	        4.7595	        1.4270
Tile038	23	0	19.8040	        5.6295	        1.3470
Tile041	24	0	2.4900	        12.1865	        1.4830
Tile042	25	0	10.4220	        12.9885	        1.4510
Tile043	26	0	-0.4050	        19.9015	        1.5000
Tile044	27	0	24.9400	        14.3285	        1.3130
Tile045	28	0	17.3240	        17.3515	        1.3370
Tile046	29	0	47.8210	        4.7775	        1.1950
Tile047	30	0	15.3830	        25.3685	        1.4290
Tile048	31	0	55.5800	        14.9535	        1.1570
Tile051	32	0	14.9200	        -134.1155	1.0450
Tile052	33	0	247.9470	-302.2935	-0.7510
Tile053	34	0	48.7700	        -181.9115	0.5930
Tile054	35	0	162.2890	-339.4815	0.0020
Tile055	36	0	224.1800	-518.8455	0.7240
Tile056	37	0	2.8980	        -281.2775	0.4160
Tile057	38	0	-47.5570	-298.7895	0.2960
Tile058	39	0	-17.0360	-133.7195	1.2740
Tile061	40	0	-34.8010	-41.7365	1.5010
Tile062	41	0	-28.0500	-28.7545	1.5060
Tile063	42	0	-11.3650	-29.5795	1.5160
Tile064	43	0	-9.0610	        -20.7885	1.5160
Tile065	44	0	-4.6400	        -11.9145	1.5010
Tile066	45	0	-0.5370	        -22.9875	1.4850
Tile067	46	0	7.9130	        -29.9295	1.4550
Tile068	47	0	19.7890	        -37.0315	1.3230
Tile071	48	0	-125.5000	-69.1215	1.4080
Tile072	49	0	-127.7140	-163.7665	1.2690
Tile073	50	0	-213.9770	-455.0975	-0.8490
Tile074	51	0	-317.6720	-302.9385	-0.3750
Tile075	52	0	-382.2060	-274.8495	-0.6320
Tile076	53	0	-398.3370	-73.7295	-0.9870
Tile077	54	0	-294.0440	-75.8185	-0.0070
Tile078	55	0	-299.1280	7.5675	        -0.5030
Tile081	56	0	-89.9850	314.2905	-0.9580
Tile082	57	0	-57.5660	91.5775	        0.8220
Tile083	58	0	0.7090	        35.1145	        1.4400
Tile084	59	0	-8.2510	        38.3425	        1.4440
Tile085	60	0	-33.4610	41.9975	        1.2990
Tile086	61	0	-29.6920	29.9795	        1.4050
Tile087	62	0	-324.9720	112.2355	-1.2210
Tile088	63	0	-193.0670	130.3575	-0.4200
Tile091	64	0	396.6210	-55.3085	-1.8020
Tile092	65	0	243.9050	-65.3215	-0.7220
Tile093	66	0	67.9650	        33.9245	        1.1400
Tile094	67	0	23.9260	        28.5525	        1.3630
Tile095	68	0	14.3390	        37.0055	        1.4040
Tile096	69	0	36.7750	        92.1315	        1.2270
Tile097	70	0	120.6070	277.2425	0.4450
Tile098	71	0	155.3600	260.2245	0.5770
Tile101	72	0	-447.5660	373.5865	-3.1020
Tile102	73	0	-419.4630	345.6515	-2.8040
Tile103	74	0	-505.0770	156.0915	-2.3450
Tile104	75	0	-515.1950	-360.4465	-0.5190
Tile105	76	0	-582.9870	-116.6615	-1.2620
Tile106	77	0	-614.5470	-46.7485	-1.4830
Tile107	78	0	-1009.1180	-171.8985	1.3420
Tile108	79	0	-955.5940	315.6105	-1.6120
Tile111	80	0	-263.2780	1401.8155	-4.4650
Tile112	81	0	-156.6710	639.2125	-1.9970
Tile113	82	0	-103.2370	522.7215	-1.4920
Tile114	83	0	-186.4720	633.0885	-2.1990
Tile115	84	0	-124.5380	503.9765	-1.6170
Tile116	85	0	-179.1670	472.7925	-1.9150
Tile117	86	0	-230.2160	445.4095	-2.1990
Tile118	87	0	-818.9910	829.2195	-5.2230
Tile121	88	0	786.8730	1146.3385	-0.9610
Tile122	89	0	358.5460	359.3485	-0.5880
Tile123	90	0	308.7900	509.4965	0.0970
Tile124	91	0	298.3580	560.8075	0.0460
Tile125	92	0	131.9230	556.3385	0.2950
Tile126	93	0	11.6060	        551.6135	-0.5370
Tile127	94	0	105.7040	691.3255	0.5870
Tile128	95	0	71.4950	        1153.4465	-1.9200
Tile131	96	0	910.4230	731.3105	-2.9310
Tile132	97	0	1247.7740	599.7155	-3.4700
Tile133	98	0	1384.0910	294.4555	-5.2460
Tile134	99	0	626.6020	-14.4315	-3.4460
Tile135	100	0	642.0210	100.2935	-3.2140
Tile136	101	0	559.3370	166.0635	-2.7590
Tile137	102	0	599.0780	280.2775	-2.9250
Tile138	103	0	451.5490	393.9475	-1.4630
Tile141	104	0	1171.4250	-107.1565	-6.5970
Tile142	105	0	1271.6120	-702.1665	-7.3030
Tile143	106	0	569.1090	-523.5105	-2.5140
Tile144	107	0	371.6730	-307.8685	-1.1340
Tile145	108	0	441.1280	-297.3315	-1.4080
Tile146	109	0	614.8040	-350.0685	-2.9230
Tile147	110	0	577.2730	-262.1325	-2.9360
Tile148	111	0	594.2070	-183.4225	-3.1240
Tile151	112	0	724.2540	-1296.6645	-4.5700
Tile152	113	0	513.4700	-1094.2225	-3.4380
Tile153	114	0	11.6790	        -764.2485	-2.8260
Tile154	115	0	107.5450	-663.9665	-1.7120
Tile155	116	0	303.3220	-616.8075	-0.4830
Tile156	117	0	328.4640	-625.3695	-0.5220
Tile157	118	0	396.1680	-577.4245	-0.7140
Tile158	119	0	396.5810	-565.2235	-0.6150
Tile161	120	0	-341.9770	-667.9765	-1.7630
Tile162	121	0	-71.4180	-679.1775	-2.2410
Tile163	122	0	-409.7900	-1076.2405	0.0320
Tile164	123	0	-505.0530	-1122.6985	-0.1520
Tile165	124	0	-603.5410	-897.7875	-0.3510
Tile166	125	0	-560.9230	-504.0235	-0.1790
Tile167	126	0	-562.7570	-428.2785	-0.1090
Tile168	127	0	-498.0600	-516.5765	-0.4820
